Interval (ms),PCM1.P1.MAP,PCM1.P19.BatteryVolts,PCM1.P19.Coolant_Temp,PCM1.P1.Final_AFR1,PCM1.P1.Final_AFR2,PCM1.P14.InjectorPW1,PCM1.P9.O2Fuel_MultA,PCM1.P9.O2Fuel_MultB,PCM1.P23.Primary_Fuel_Pressure,PCM1.P12.PrimaryCompensatedInjectorFlow,PCM1.P9.RPM,PCM1.P1.Spark_Advance_Log,PCM1.P20.Target_AFR,PCM1.P4.TimeSinceRun,PCM1.P2.TPS,PCM1.P3.WasteGate_SetPoint,PCM1.P3.NonDrivenWheelSpeed,PCM1.P3.DrivenWheelSpeed,PCM1.P20.Engine_HP_Potential,PCM1.P22.EngineTorque,PCM1.ERI.VarDecs.Primary_Injector_Duty,TPS_diff,time_diff,TPS_ramp_rate,Final_AFR1_diff,Final_AFR1_ramp_rate,RPM_diff,RPM_ramp_rate,event_type
1676786787062.0,-8.99,14.43,161.6,9.1,1.03,2055.0,1.0,1.0,50.33,1270.0,1097.0,20.64,10.0,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,,,,,,,,idle
1676786787123.0,-8.99,14.41,161.6,9.09,1.03,2053.0,1.0,1.0,50.47,1270.0,1099.0,19.92,10.0,383.0,2.0,22.05,0.0,0.0,10.0,47.0,,0.0,61.0,0.0,-0.009999999999999787,-0.00016,2.0,0.03279,idle
1676786787148.0,-8.99,14.41,161.6,9.08,1.03,2056.0,1.0,1.0,49.89,1266.0,1095.0,20.59,10.0,383.0,2.0,22.05,0.0,0.0,10.0,47.0,,0.0,25.0,0.0,-0.009999999999999787,-0.0004,-4.0,-0.16,idle
1676786787170.0,-8.99,14.41,161.6,9.08,1.03,2053.0,1.0,1.0,50.04,1274.0,1095.0,20.59,10.01,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,idle
1676786787191.0,-8.99,14.43,161.6,9.09,1.03,2050.0,1.0,1.0,50.33,1268.0,1101.0,20.53,10.01,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,0.0,21.0,0.0,0.009999999999999787,0.00048,6.0,0.28571,idle
1676786787222.0,-8.99,14.43,161.6,9.09,1.03,2053.0,1.0,1.0,50.04,1270.0,1098.0,20.21,10.01,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,0.0,31.0,0.0,0.0,0.0,-3.0,-0.09677,idle
1676786787250.0,-8.99,14.43,161.6,9.09,1.03,2064.0,1.0,1.0,50.04,1270.0,1090.0,20.69,10.01,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,0.0,28.0,0.0,0.0,0.0,-8.0,-0.28571,idle
1676786787286.0,-8.99,14.4,161.6,9.08,1.03,2061.0,1.0,1.0,50.33,1270.0,1096.0,20.74,10.0,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,0.0,36.0,0.0,-0.009999999999999787,-0.00028,6.0,0.16667,idle
1676786787310.0,-8.99,14.4,161.6,9.08,1.03,2052.0,1.0,1.0,50.04,1272.0,1097.0,20.53,10.0,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,0.0,24.0,0.0,0.0,0.0,1.0,0.04167,idle
1676786787332.0,-8.99,14.4,161.6,9.08,1.03,2051.0,1.0,1.0,50.47,1268.0,1091.0,20.42,10.0,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,0.0,22.0,0.0,0.0,0.0,-6.0,-0.27273,idle
1676786787368.0,-8.99,14.4,161.6,9.07,1.03,2054.0,1.0,1.0,50.47,1266.0,1090.0,20.84,10.0,383.0,2.0,22.05,0.0,0.0,9.0,47.0,,0.0,36.0,0.0,-0.009999999999999787,-0.00028,-1.0,-0.02778,idle
