PCM1.P1.MAP,"(0.0, 250.0]","(250.0, 500.0]","(500.0, 750.0]","(750.0, 1000.0]","(1000.0, 1250.0]","(1250.0, 1500.0]","(1500.0, 1750.0]","(1750.0, 2000.0]","(2000.0, 2250.0]","(2250.0, 2500.0]","(2500.0, 2750.0]","(2750.0, 3000.0]","(3000.0, 3250.0]","(3250.0, 3500.0]","(3500.0, 3750.0]","(3750.0, 4000.0]","(4000.0, 4250.0]","(4250.0, 4500.0]","(4500.0, 4750.0]","(4750.0, 5000.0]","(5000.0, 5250.0]","(5250.0, 5500.0]","(5500.0, 5750.0]","(5750.0, 6000.0]","(6000.0, 6250.0]","(6250.0, 6500.0]","(6500.0, 6750.0]","(6750.0, 7000.0]","(7000.0, 7250.0]","(7250.0, 7500.0]","(7500.0, 7750.0]","(7750.0, 8000.0]","(8000.0, inf]"
"(-13.053, -11.94]",-0.003,-0.01,-0.005,-0.014,0.004,-0.014,-0.005,-0.007,-0.003,0.008,-0.007,-0.006,-0.011,0.0,-0.006,-0.003,0.0,0.0,0.0,-0.001,-0.005,-0.001,0.001,0.004,-0.004,-0.001,0.0,0.0,0.0,0.001,0.002,0.004,0.004
"(-11.94, -11.087]",-0.007,-0.002,-0.002,0.004,0.022,0.004,-0.002,0.002,0.011,0.009,0.007,0.004,-0.015,-0.003,0.004,-0.004,-0.001,0.0,0.0,-0.001,-0.005,-0.001,0.001,0.004,-0.004,-0.001,0.0,0.0,0.001,0.004,0.005,-0.005,-0.003
"(-11.087, -10.234]",-0.012,0.005,0.019,0.021,0.021,0.02,0.02,0.014,0.024,0.034,0.021,0.006,-0.004,0.009,0.004,0.009,-0.001,0.0,0.001,0.0,-0.004,0.0,0.001,0.005,-0.002,0.0,0.001,0.002,0.005,-0.003,-0.001,0.001,0.003
"(-10.234, -9.381]",-0.014,0.002,0.011,0.013,0.013,0.015,0.016,0.02,0.056,0.088,0.057,0.018,0.001,0.02,0.021,0.019,0.004,0.004,0.005,0.004,0.0,0.004,0.005,0.008,0.001,0.004,0.005,0.007,-0.001,0.002,0.006,-0.002,0.0
"(-9.381, -8.528]",-0.009,0.007,0.019,0.023,0.025,0.028,0.012,0.023,0.076,0.129,0.096,0.036,0.008,0.026,0.029,0.023,0.001,0.0,0.001,0.0,-0.004,0.0,0.001,0.005,-0.002,0.0,0.001,0.003,-0.003,0.0,0.003,-0.003,-0.001
"(-8.528, -7.675]",-0.015,0.004,0.002,0.011,0.016,0.021,0.007,0.015,0.086,0.148,0.126,0.07,0.036,0.035,0.022,0.016,0.0,0.0,0.0,-0.001,-0.005,-0.001,0.001,0.003,-0.003,0.0,0.001,0.003,-0.003,0.0,0.003,-0.003,-0.001
"(-7.675, -6.823]",-0.003,0.003,0.011,0.011,0.007,0.015,0.011,0.011,0.068,0.114,0.104,0.093,0.073,0.056,0.021,0.001,0.002,0.004,0.002,0.0,-0.003,0.0,0.001,0.003,-0.003,-0.001,0.001,0.003,-0.003,0.0,0.003,-0.003,-0.001
"(-6.823, -5.97]",-0.003,0.008,0.005,0.014,0.02,0.033,0.016,0.018,0.043,0.084,0.085,0.096,0.091,0.082,0.037,0.01,0.001,0.016,0.01,0.003,-0.002,0.001,0.003,0.006,-0.002,0.0,0.001,0.003,-0.003,0.0,0.003,-0.003,-0.001
"(-5.97, -5.117]",-0.002,0.0,0.005,0.002,0.014,0.025,0.015,0.006,0.033,0.066,0.07,0.077,0.082,0.09,0.046,0.013,0.019,0.025,0.014,-0.001,0.002,0.004,-0.004,-0.002,-0.001,0.0,0.001,0.003,-0.003,0.0,0.003,-0.003,-0.001
"(-5.117, -4.264]",0.003,0.01,0.005,0.008,0.02,0.03,0.016,0.012,0.033,0.06,0.065,0.061,0.07,0.07,0.054,0.03,0.033,0.037,0.018,0.008,-0.002,0.0,0.001,0.001,0.001,0.001,0.001,0.003,-0.003,0.0,0.003,-0.003,-0.001
"(-4.264, -3.411]",0.013,0.009,0.012,0.001,0.013,0.02,0.02,0.028,0.041,0.049,0.055,0.054,0.058,0.057,0.068,0.074,0.057,0.049,0.033,0.008,-0.003,-0.002,-0.004,0.005,0.003,0.003,0.003,0.005,-0.002,0.0,0.003,-0.003,-0.001
"(-3.411, -2.558]",0.036,0.006,-0.003,0.003,0.007,0.004,0.018,0.03,0.037,0.051,0.056,0.063,0.041,0.055,0.083,0.096,0.073,0.065,0.032,0.007,-0.002,0.007,0.003,0.001,-0.001,-0.002,-0.002,-0.002,0.0,0.001,0.003,-0.003,-0.001
